43,Legend,"org ranked or local, world champion",,,,,,1070.5,
W,Muangchonlek Sor. Hengcheroen,TKO knees,47,4,10/6/2014,88,"Chua Kraow, Chon Buri, Thailand",Muay Thai,Chua Kraow Stadium Belt in Muang Chon Buri - Buffalo Racing Festival - opponent 3rd ranked WPMF opponent
W,Sam A Sit,TKO knees,50,3,10/4/2014,87,"Yang Sisurat (Isaan), Thailand",Muay Thai,"opponent switched at the last minute, weight is a guess"
L,Star Sor. Klinmee (Sit Sor.),Decision,52,5,9/29/2014,86,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,no weigh-in - was told she would be 52 kg - former WMC and WMPF title older at 47 kg
W,Phetseengern Gor. Adtison,TKO (knees),50,4,9/15/2014,85,"Suranaree Stadium - Korat (Isaan), Thailand",Muay Thai,I weighed in at 46 (45.8) kg - opponent did not. She seemed abt 50 kg - she was in line for the WPMF title
W,Nongnaa Lookponaak,TKO (knees),56,2,8/26/2014,84,"Buriram (Isaan), Thailand",Muay Thai (3x2),3 round fight due to opponent having no side bet (Isaan protocol)
W,Saya Ito,Decision,46,5,8/12/2014,83,"Sanam Luang, Bangkok Thailand",Muay Thai,"World Champion (WPMF) - Saya Ito won the championship in this same event last year vs Pizza - perhaps the last ""official"" Queen's Cup promotion in Thailand"
L,Cherry Sityodtong,Decision,47,5,8/8/2014,82,"Pattaya Boxing World Stadium, Thailand",Muay Thai,Boxing World and Thepprasit Ring Pattaya Champion
W,Benchamin Luketaidon,TKO,47,2,7/4/2014,81,"Pattaya Boxing World Stadium, Thailand",Muay Thai,
W,Gaewdtaa Por. Muangphet,Decision,47,5,6/13/2014,80,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,
L,Baifern Bor. Puiboonput,Doctor Stoppage (cut),49,3,5/18/2014,79,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,Loi Kroh Champion
W,Gwangtong Phetriantong,TKO,51,4,5/5/2014,78,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,"same fighter as Nong Kwangngern Sit Thahan Eak, and Kwangngern Wor. Suwan"
L,Nong Em Tor. Vitaya,Decision,52,5,4/21/2014,77,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,"2nd fight between us - 4x Isaan champion, Multiple National Wushu Champion"
W,Nong Ploy WP Chiang Mai,Decision,50,5,4/17/2014,76,"Loi Kroh, Chiang Mai, Thailand",Muay Thai (octagon),There was an MMA cage there when I walked in the stadium. Not again. 
W,Phetdara Sit Kru Ood,"TKO (elbow, knee)",56,4,4/9/2014,75,"Loi Kroh, Chiang Mai, Thailand",Muay Thai,
L,Nongpin Phettonpeung,Decision,52,5,4/5/2014,74,"Loi Kroh, Chiang Mai, Thailand",Muay Thai,
W,Pupae Soongeelamoo. 7,TKO,51,2,4/2/2014,73,"Loi Kroh, Chiang Mai, Thailand",Muay Thai,
W,Phetdara Sit Kru Ood,Decision,56,5,3/25/2014,72,"Loi Kroh, Chiang Mai, Thailand",Muay Thai,
W,Nong Toy Yodkunseuk,TKO,48,3,3/18/2014,71,"Loi Kroh, Chiang Mai, Thailand",Muay Thai,
L,Lommanee Sor. Hirun,Doctor Stoppage,48,2,2/19/2014,70,"Pattaya Boxing World Stadium, Thailand",Muay thai (3x3),opponent WMF World Champion (48 kg)
L,Star Sor. Klinmee,Decision,48,3,2/7/2014,69,"Pattaya Boxing World Stadium, Thailand",Muay Thai (3x3),opponent WPMF interim and WMC World Champion (46 kg)
W,Duangphet Sit Putia,TKO (Knee),47,2,1/31/2014,68,"Pattaya Boxing World Stadium, Thailand",Muay Thai,first fight in Pattaya
W,Namwan Senyendtaafo,Decision,48,5,1/11/2014,67,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
L,Nong Em Tor. Vitaya,Decision,52,5,12/28/2013,66,"Loi Kroh, Chiangmai, Thailand",Muay Thai,"opponent multi-Wushu Thailand Gold Metalist, 4x time Isaan champion"
L,Nongphet Kor. Saklamphun,Decision,54,5,12/22/2013,65,"Loi Kroh, Chiangmai, Thailand",Muay Thai,"opponent reportedly WBC champion, possible former S1 Champion at 54 kg"
L,Sud Siam Sor. Sumalee,Decision,53,5,12/8/2013,64,"Maejo University, Chiang Mai, Thailand",Muay Thai,opponent current Lanna Champion 53 kg - a festival fight
L,Thanonchanok Kaewsamrit,Decision,50,5,11/30/2013,63,"Lampang, Thailand",Muay Thai,opponent current WPMF Light Flyweight champion (108 lb) (Kaewsamrit) & 2010 Queens Cup Winner
L,Cherry Gor. Towin Gym,Decision,50,5,11/16/2013,62,"San Sai, Thailand",Muay Thai,opponent current No. 1 challenger to the WPMF Light Flyweight Champion - Loi Krathong festival fight
L,Phet Nam Ngaam Phet Ton Peung,Decision,60,5,11/10/2013,61,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
W,Nong Ploy WP Chiang Mai,Decision,52,5,11/2/2013,60,"Loi Kroh, Chiangmai, Thailand
",Muay Thai,opponent no 6 ranked WPMF Bantam Weight (115 lb)
W,Hongfaa Sitjenok,TKO (Knee),50,3,10/23/2013,59,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
W,Phetlanna Phetdtonpeung,TKO (Knee),55,4,10/20/2013,58,"Loi Kroh, Chiangmai, Thailand",Muay Thai,both Juliana Rosa and Melissa Reaume fought her as well
W,Nongmai Sor. Phetphupan,TKO (Knee),54,4,10/14/2013,57,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
W,Suaphet Liangprasert,TKO (Knee),50,3,10/10/2013,56,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,
W,Cherry Gor. Towin Gym,Decision,50,5,9/28/2013,55,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,opponent 1st ranked WPMF Light Flyweight world
W,Tuketathong Pichitmaan,TKO (Knee),53,2,9/16/2013,54,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,my 1st fight at Thapae
L,Sud Siam Sor. Sumalee,Decision,53,5,8/30/2013,53,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,opponent current Lanna Champion
W,Faa Chiang Rai Sor. Sakunthong,Decision,47,5,8/23/2013,52,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,"3rd fight between us 1-1-1, future 2nd ranked WPMF mini-flyweight"
W,Yodying Sor. Sumalee,Decision,50,5,8/12/2013,51,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Yodying Sor. Sumalee,Decision,50,5,7/26/2013,50,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
L,Yodying Sor. Sumalee,Decision,50,5,7/16/2013,49,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Kulap Hin Sor. Chalerm Chai,TKO (Knee),50,3,7/12/2013,48,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
L,Muangsingjiew O. Wanchert,Decision,46,5,6/28/2013,47,"700 Year Stadium, Chiang Mai, Thailand",Muay Thai,Muay Thai Warriors Show (opponent 3rd ranked WPMF pin weight)
W,Nong Ying Phet Ton Phueng,TKO,53,2,6/1/2013,46,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
W,Phetmuangfang Sor. Sor. Chiangmai,Decision,50,5,5/25/2013,45,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
L,Faa Chiang Rai Sor. Sakunthong,Decision,48,5,5/18/2013,44,"Doi Saket, Thailand",Muay Thai,"festival fight, future 2nd ranked WPMF mini-flyweight"
W,Phetmuangfang Sor. Sor. Chiangmai,TKO (Knee),50,2,5/8/2013,43,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
W,Nong Kwangngern Sit Thahan Eak,TKO (Knee),50,2,5/1/2013,42,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
D,Faa Chiang Rai Sor. Sakunthong,Draw,48,5,4/11/2013,41,"Mae Wang, Thailand",Muay Thai,"festival fight, Muay Siam Northern Champion at 102 lbs"
L,Nong Kwangngern Sit Thahan Eak,cut stoppage (elbow),50,1,3/26/2013,40,"Phayao, Thailand",Muay Thai,
W,Nong Kwangngern Sit Thahan Eak,TKO (Knees),50,3,3/19/2013,39,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Nong Ying Phet Ton Phueng,TKO (Knee to Body),53,3,3/8/2013,38,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Yodying Sor. Sumalee,TKO (Knee to Head),50,4,3/1/2013,37,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
L,Yodying Sor. Sumalee,Decision,50,5,2/15/2013,36,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
L,Nong Mai Sit Rapee,Decision,45.5,5,2/9/2013,35,"Si Bun Rueang, Nongbualamphu, Thailand",Muay Thai,"televised channel 11, opponent was a silver medalist at Thailand games"
L,Yodying Sor. Sumalee,Decision,50,5,1/22/2013,34,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Nong Maem Po Pui Bun Phuet,Decision ,50,5,1/12/2013,33,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
D,Phet Ching (J.A. Gym),Draw,50,5,12/11/2012,32,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,"
"
W,Yodying Sor. Sumalee,Decision,50,5,12/5/2012,31,"King's Birthday, Chiangmai, Thailand",Muay Thai,
W,Nong Ploy WP Chiang Mai,KO (Knee to Head),50,2,11/29/2012,30,"Chiang Rai, Thailand",Muay Thai,Chompu WP (alt name)
W,Kendo W.P,TKO (Knee to body),50,3,11/16/2012,29,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Kwangngern Wor. Bor.,TKO,50,4,11/3/2012,28,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
W,Sawlampang (J.A. Gym),Decision,49,5,10/26/2012,27,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Yodying Sor. Sumalee,TKO (Knees),50,2,10/12/2012,26,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Taemthong Sitthongplee,TKO,50,3,10/2/2012,25,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
L,Phetchaodoi (J.A. Gym),Decision,49,5,9/21/2012,24,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Yodying Sor. Sumalee,Decision,50,5,8/31/2012,23,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
L,Phetchaodoi (J.A. Gym),Decision,49,5,8/17/2012,22,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Yodying Sor. Sumalee,TKO (Knees),50,4,7/27/2012,21,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
L,Yodying Sor. Sumalee,Decision,50,3,7/13/2012,20,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
D,Phetngama (J.A. Gym),Decision,47,5,6/29/2012,19,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,Phetkarat Phettonphung,TKO (Knees),48,3,6/20/2012,18,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
W,(thailand),TKO (Elbow),49,2,6/9/2012,17,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
W,Payaksaw Phettonphung,TKO,49,2,5/25/2012,16,"Loi Kroh, Chiangmai, Thailand",Muay Thai,
L,Phetkarat Phettonphung,Decision,48,5,5/11/2012,15,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
L,Phetngama (J.A. Gym),Decision,47,5,4/27/2012,14,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
W,(thai),TKO knees,50,1,4/20/2012,13,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,
L,Angela Hill,Unanimous Decision,48.9,3,1/20/2012,12,"Friday Night Fights, Manhattan, NY",mod Muay Thai,
L,Patti Teran,Unanimous Decision,46.3,5,9/20/2011,11,"Lion Fight Proms., Las Vegas, NV",mod Muay Thai,
L,Jessica Ng,Unanimous Decision,46.3,3,5/13/2011,10,"Take-On Prods., Queens, NY",mod Muay Thai,
L,Giovanna Camacho,Decision,,4,4/30/2011,Boxing,"Gleason's Gym, Brooklyn, NY (All-Woman's card)",Amateur boxing,
L,Angela Hill,Unanimous Decision,48.1,3,3/4/2011,9,"Friday Night Fights, Manhattan, NY",mod Muay Thai,
L,Peeloshmee Deonarain,Unanimous Decision,48.9,5,12/11/2010,8,"Take-On Prods., Queens, NY",mod Muay Thai,
L,Tanya Lohr,Unanimous Decision,48.9,3,10/18/2010,7,"Take-On Prods., Queens, NY",mod Muay Thai,
W,Jessica Ng,Unanimous Decision,46.3,3,7/18/2010,6,"Take-On Prods., Queens, NY",mod Muay Thai,
W,Min Goodspeed,TKO knees,,2,6/11/2010,5,Friday Night Fights (All-Woman's card),mod Muay Thai,
L ,Tori Richardson,Unanimous Decision,51,3,5/3/2010,4,"MBK - Bangkok, Thailand (no elbows allowed)",mod Muay Thai,"rules were changed to ""no elbows"" at the last minute (opponent had been a black belt in Chinese Kickboxing Zhuan Shu Kuan for 8 years before this fight)"
W,(thai),TKO (Kick to Body),,2,2/16/2010,3,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,
W,(thai),TKO (Knee to Head),,2,2/2/2010,2,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,
L,Peeloshmee Deonarain,Decision,110 & under,3,6/27/2009,1,"WKA Nationals - Richmond, VA",mod Muay Thai,
